iter	Passed	Remaining
197	2347	9510
198	2357	9489
199	2367	9471
200	2377	9450
201	2387	9431
202	2398	9415
203	2408	9397
204	2417	9375
205	2427	9356
206	2437	9338
207	2448	9322
208	2457	9302
209	2467	9284
210	2478	9269
211	2486	9244
212	2497	9226
213	2507	9210
214	2516	9189
215	2526	9171
216	2537	9155
217	2547	9138
218	2556	9118
219	2566	9098
220	2575	9078
221	2593	9089
222	2604	9076
223	2629	9110
224	2642	9100
225	2662	9119
226	2672	9100
227	2682	9083
228	2691	9063
229	2702	9046
230	2710	9024
231	2720	9005
232	2731	8990
233	2743	8981
234	2752	8960
235	2763	8947
236	2774	8930
237	2782	8909
238	2793	8895
239	2803	8877
240	2812	8856
241	2823	8844
242	2834	8830
243	2845	8816
244	2857	8805
245	2869	8794
246	2880	8780
247	2891	8768
248	2900	8748
249	2911	8733
250	2920	8715
251	2930	8697
252	2942	8687
253	2952	8671
254	2962	8654
255	2971	8636
256	2981	8619
257	2992	8605
258	3002	8590
259	3013	8576
260	3023	8559
261	3034	8546
262	3041	8522
263	3050	8505
264	3059	8485
265	3068	8468
266	3078	8452
267	3087	8434
268	3096	8414
269	3107	8400
270	3117	8386
271	3126	8367
272	3136	8351
273	3146	8336
274	3155	8318
275	3164	8301
276	3174	8287
277	3185	8274
278	3195	8256
279	3205	8242
280	3214	8225
281	3224	8210
282	3244	8220
283	3264	8229
284	3297	8272
285	3321	8291
286	3334	8283
287	3353	8291
288	3364	8276
289	3375	8263
290	3386	8250
291	3396	8236
292	3406	8220
293	3417	8206
294	3428	8192
295	3438	8178
296	3448	8162
297	3458	8147
298	3470	8137
299	3479	8119
300	3488	8101
301	3498	8086
302	3507	8069
303	3518	8054
304	3527	8038
305	3538	8025
306	3553	8021
307	3563	8005
308	3572	7989
309	3581	7972
310	3590	7954
311	3600	7939
312	3610	7923
313	3619	7907
314	3630	7894
315	3639	7878
316	3650	7864
317	3659	7848
318	3668	7832
319	3678	7817
320	3688	7801
321	3719	7830
322	3736	7831
323	3752	7830
324	3763	7816
325	3774	7803
326	3784	7788
327	3792	7770
328	3804	7758
329	3812	7740
330	3821	7724
331	3831	7709
332	3843	7698
333	3851	7680
334	3862	7667
335	3872	7653
336	3883	7640
337	3893	7625
338	3902	7609
339	3912	7594
340	3923	7581
341	3933	7567
342	3941	7549
343	3951	7535
344	3962	7522
345	3972	7509
346	3981	7492
347	3992	7479
348	4002	7465
349	4012	7451
350	4022	7438
351	4031	7422
352	4043	7410
353	4053	7397
354	4063	7382
355	4073	7368
356	4082	7353
357	4093	7340
358	4102	7324
359	4111	7309
360	4121	7294
361	4130	7279
362	4140	7265
363	4150	7252
364	4159	7237
365	4169	7222
366	4178	7206
367	4186	7190
368	4196	7176
369	4207	7164
370	4217	7150
371	4227	7136
372	4237	7123
373	4248	7111
374	4258	7097
375	4269	7085
376	4278	7070
377	4289	7058
378	4299	7045
379	4309	7031
380	4320	7018
381	4329	7004
382	4339	6990
383	4349	6978
384	4358	6962
385	4368	6949
386	4377	6933
387	4392	6928
388	4412	6930
389	4420	6914
390	4431	6902
391	4442	6889
392	4453	6877
393	4463	6865
394	4473	6851
395	4484	6839
396	4493	6825
397	4504	6813
398	4513	6798
399	4524	6787
400	4534	6773
401	4544	6760
402	4554	6747
403	4564	6733
404	4574	6720
405	4584	6706
406	4594	6693
407	4604	6680
408	4615	6670
409	4625	6656
410	4635	6643
411	4644	6628
412	4654	6615
413	4664	6601
414	4673	6587
415	4684	6575
416	4695	6565
417	4706	6552
418	4719	6544
419	4730	6532
420	4750	6533
421	4769	6532
422	4784	6526
423	4809	6534
424	4821	6523
425	4831	6510
426	4843	6499
427	4852	6485
428	4861	6470
429	4871	6458
430	4883	6446
431	4893	6433
432	4901	6418
433	4911	6405
434	4923	6394
435	4933	6382
436	4943	6369
437	4952	6354
438	4960	6339
439	4970	6326
440	4978	6310
441	4989	6298
442	4999	6285
443	5009	6272
444	5019	6260
445	5030	6248
446	5039	6234
447	5049	6222
448	5060	6209
449	5069	6195
450	5078	6182
451	5089	6170
452	5100	6158
453	5111	6146
454	5120	6133
455	5128	6118
456	5139	6106
457	5150	6094
458	5159	6081
459	5170	6069
460	5180	6057
461	5191	6045
462	5202	6034
463	5213	6022
464	5224	6010
465	5233	5996
466	5241	5982
467	5252	5970
468	5263	5958
469	5272	5945
470	5282	5933
471	5292	5920
472	5303	5908
473	5313	5896
474	5322	5883
475	5331	5869
476	5341	5856
477	5350	5843
478	5361	5831
479	5370	5817
480	5385	5810
481	5397	5800
482	5410	5791
483	5422	5781
484	5433	5769
485	5444	5758
486	5454	5745
487	5463	5732
488	5474	5720
489	5484	5708
490	5493	5694
491	5503	5682
492	5513	5669
493	5524	5658
494	5535	5647
495	5546	5635
496	5555	5622
497	5566	5611
498	5576	5598
499	5585	5585
500	5595	5573
501	5605	5560
502	5614	5547
503	5624	5535
504	5635	5524
505	5646	5512
506	5658	5502
507	5669	5490
508	5678	5478
509	5689	5466
510	5700	5455
511	5710	5442
512	5721	5431
513	5731	5419
514	5741	5406
515	5751	5394
516	5767	5387
517	5791	5388
518	5854	5425
519	5903	5449
520	5918	5441
521	5930	5430
522	5940	5418
523	5949	5404
524	5957	5390
525	5966	5376
526	5977	5364
527	5987	5352
528	5996	5338
529	6006	5326
530	6015	5312
531	6026	5301
532	6035	5288
533	6047	5277
534	6057	5264
535	6066	5251
536	6077	5239
537	6087	5227
538	6097	5214
539	6109	5204
540	6118	5191
541	6129	5179
542	6138	5166
543	6148	5154
544	6158	5141
545	6168	5129
546	6178	5116
547	6186	5102
548	6196	5090
549	6207	5078
550	6217	5066
551	6228	5054
552	6238	5042
553	6249	5030
554	6260	5019
555	6269	5006
556	6280	4995
557	6289	4982
558	6298	4969
559	6310	4958
560	6321	4946
561	6331	4934
562	6340	4921
563	6348	4907
564	6357	4894
565	6367	4882
566	6377	4870
567	6387	4858
568	6396	4845
569	6406	4832
570	6415	4819
571	6424	4807
572	6433	4794
573	6444	4782
574	6453	4769
575	6463	4758
576	6472	4745
577	6482	4733
578	6492	4720
579	6500	4706
580	6510	4694
581	6522	4684
582	6532	4672
583	6541	4659
584	6550	4647
585	6557	4633
586	6569	4621
587	6578	4609
588	6589	4597
589	6599	4585
590	6609	4574
591	6619	4561
592	6630	4550
593	6640	4539
594	6652	4527
595	6662	4516
596	6672	4504
597	6681	4491
598	6691	4479
599	6700	4466
600	6710	4455
601	6720	4442
602	6731	4431
603	6740	4419
604	6751	4407
605	6761	4396
606	6772	4384
607	6782	4372
608	6794	4362
609	6805	4350
610	6814	4338
611	6825	4327
612	6836	4315
613	6845	4303
614	6855	4291
615	6864	4279
616	6872	4265
617	6883	4254
618	6894	4243
619	6904	4231
620	6922	4225
621	6948	4222
622	6966	4215
623	6977	4204
624	6991	4194
625	7011	4189
626	7021	4176
627	7031	4165
628	7042	4153
629	7051	4141
630	7062	4129
631	7071	4117
632	7080	4105
633	7090	4093
634	7100	4081
635	7113	4070
636	7123	4059
637	7133	4047
638	7143	4035
639	7152	4023
640	7163	4012
641	7174	4000
642	7182	3987
643	7192	3976
644	7202	3964
645	7212	3952
646	7222	3940
647	7231	3928
648	7243	3917
649	7252	3905
650	7262	3893
651	7273	3882
652	7282	3869
653	7292	3857
654	7302	3846
655	7312	3834
656	7323	3823
657	7333	3811
658	7343	3799
659	7355	3788
660	7366	3778
661	7381	3768
662	7391	3757
663	7399	3744
664	7409	3732
665	7419	3720
666	7429	3709
667	7439	3697
668	7450	3686
669	7459	3673
670	7468	3662
671	7479	3650
672	7488	3638
673	7499	3627
674	7508	3615
675	7519	3604
676	7528	3592
677	7538	3580
678	7548	3568
679	7558	3557
680	7569	3545
681	7579	3534
682	7590	3522
683	7600	3511
684	7609	3499
685	7619	3487
686	7628	3475
687	7638	3464
688	7647	3452
689	7656	3440
690	7667	3428
691	7676	3416
692	7687	3405
693	7697	3393
694	7705	3381
695	7715	3370
696	7725	3358
697	7737	3347
698	7747	3336
699	7757	3324
700	7768	3313
701	7780	3302
702	7794	3292
703	7804	3281
704	7817	3271
705	7828	3259
706	7838	3248
707	7853	3238
708	7863	3227
709	7873	3215
710	7885	3205
711	7896	3194
712	7907	3182
713	7917	3171
714	7928	3160
715	7939	3149
716	7948	3137
717	7958	3125
718	7971	3115
719	7985	3105
720	7996	3094
721	8007	3083
722	8022	3073
723	8031	3061
724	8048	3052
725	8062	3042
726	8073	3031
727	8083	3020
728	8093	3008
729	8104	2997
730	8116	2986
731	8125	2974
732	8136	2963
733	8146	2952
734	8156	2940
735	8166	2929
736	8175	2917
737	8185	2906
738	8196	2894
739	8206	2883
740	8216	2871
741	8225	2860
742	8234	2848
743	8246	2837
744	8258	2826
745	8268	2815
746	8280	2804
747	8290	2792
748	8299	2781
749	8310	2770
750	8319	2758
751	8329	2747
752	8339	2735
753	8349	2724
754	8358	2712
755	8366	2700
756	8377	2689
757	8387	2677
758	8398	2666
759	8407	2654
760	8418	2643
761	8428	2632
762	8440	2621
763	8450	2610
764	8461	2599
765	8470	2587
766	8482	2576
767	8492	2565
768	8504	2554
769	8518	2544
770	8529	2533
771	8541	2522
772	8552	2511
773	8565	2501
774	8579	2490
775	8591	2480
776	8604	2469
777	8615	2458
778	8628	2447
779	8639	2436
780	8650	2425
781	8663	2415
782	8675	2404
783	8688	2393
784	8701	2383
785	8712	2372
786	8723	2361
787	8735	2350
788	8745	2338
789	8755	2327
790	8766	2316
791	8780	2305
792	8792	2295
793	8805	2284
794	8817	2273
795	8828	2262
796	8841	2252
797	8852	2240
798	8864	2229
799	8875	2218
800	8885	2207
801	8900	2197
802	8920	2188
803	8931	2177
804	8939	2165
805	8950	2154
806	8959	2142
807	8970	2131
808	8980	2120
809	8992	2109
810	9002	2097
811	9013	2086
812	9022	2075
813	9033	2064
814	9042	2052
815	9053	2041
816	9062	2029
817	9073	2018
818	9082	2007
819	9099	1997
820	9113	1987
821	9127	1976
822	9155	1968
823	9165	1957
824	9175	1946
825	9186	1935
826	9196	1923
827	9204	1911
828	9213	1900
829	9224	1889
830	9234	1878
831	9244	1866
832	9253	1855
833	9263	1843
834	9270	1831
835	9280	1820
836	9290	1809
837	9301	1798
838	9310	1786
839	9319	1775
840	9327	1763
841	9337	1752
842	9347	1740
843	9359	1729
844	9369	1718
845	9379	1707
846	9391	1696
847	9401	1685
848	9412	1674
849	9422	1662
850	9431	1651
851	9442	1640
852	9453	1629
853	9464	1618
854	9475	1607
855	9485	1595
856	9495	1584
857	9505	1573
858	9515	1561
859	9525	1550
860	9535	1539
861	9544	1528
862	9552	1516
863	9563	1505
864	9574	1494
865	9584	1483
866	9594	1471
867	9604	1460
868	9614	1449
869	9624	1438
870	9634	1426
871	9643	1415
872	9653	1404
873	9664	1393
874	9675	1382
875	9684	1370
876	9695	1359
877	9706	1348
878	9716	1337
879	9726	1326
880	9735	1314
881	9744	1303
882	9755	1292
883	9766	1281
884	9776	1270
885	9786	1259
886	9797	1248
887	9806	1236
888	9817	1225
889	9827	1214
890	9837	1203
891	9847	1192
892	9858	1181
893	9867	1169
894	9878	1158
895	9888	1147
896	9898	1136
897	9908	1125
898	9917	1114
899	9927	1103
900	9938	1091
901	9948	1080
902	9959	1069
903	9969	1058
904	9979	1047
905	9990	1036
906	10001	1025
907	10012	1014
908	10022	1003
909	10031	992
910	10041	980
911	10050	969
912	10059	958
913	10070	947
914	10082	936
915	10093	925
916	10104	914
917	10114	903
918	10126	892
919	10137	881
920	10158	871
921	10168	860
922	10179	849
923	10207	839
924	10218	828
925	10230	817
926	10241	806
927	10251	795
928	10262	784
929	10272	773
930	10290	762
931	10304	751
932	10314	740
933	10323	729
934	10333	718
935	10343	707
936	10353	696
937	10362	684
938	10371	673
939	10382	662
940	10391	651
941	10400	640
942	10409	629
943	10417	618
944	10428	606
945	10438	595
946	10450	584
947	10460	573
948	10469	562
949	10479	551
950	10489	540
951	10498	529
952	10507	518
953	10518	507
954	10528	496
955	10539	485
956	10549	474
957	10559	462
958	10568	451
959	10578	440
960	10587	429
961	10598	418
962	10607	407
963	10617	396
964	10628	385
965	10640	374
966	10650	363
967	10659	352
968	10668	341
969	10678	330
970	10689	319
971	10698	308
972	10709	297
973	10719	286
974	10728	275
975	10738	264
976	10748	253
977	10758	242
978	10768	230
979	10778	219
980	10790	208
981	10801	197
982	10813	187
983	10824	176
984	10836	165
985	10846	154
986	10857	143
987	10867	131
988	10878	120
989	10887	109
990	10896	98
991	10908	87
992	10917	76
993	10926	65
994	10936	54
995	10946	43
996	10956	32
997	10965	21
998	10976	10
999	10987	0
